AI Method,Ghost Method,Time (s),Score,Level
129,RLPacMan,MyGhosts,31.78,2280,1
130,RLPacMan,MyGhosts,18.27,1400,1
131,RLPacMan,MyGhosts,23.50,2050,1
132,RLPacMan,MyGhosts,33.67,2290,1
133,RLPacMan,MyGhosts,23.60,1680,1
134,RLPacMan,MyGhosts,31.33,2130,1
135,RLPacMan,MyGhosts,20.83,1330,1
136,RLPacMan,MyGhosts,7.35,590,1
137,RLPacMan,MyGhosts,17.12,1670,1
138,RLPacMan,MyGhosts,18.52,2070,1
139,RLPacMan,MyGhosts,29.10,1960,1
140,RLPacMan,MyGhosts,18.43,1480,1
141,RLPacMan,MyGhosts,19.77,2010,1
142,RLPacMan,MyGhosts,34.07,3350,1
143,RLPacMan,MyGhosts,74.18,3100,2
144,RLPacMan,MyGhosts,22.20,2060,1
145,RLPacMan,MyGhosts,23.97,2890,1
146,RLPacMan,MyGhosts,12.30,1160,1
147,RLPacMan,MyGhosts,10.85,1160,1
148,RLPacMan,MyGhosts,70.63,2850,2
149,RLPacMan,MyGhosts,36.28,2720,1
150,RLPacMan,MyGhosts,25.97,1910,1
151,RLPacMan,MyGhosts,26.72,2710,1
152,RLPacMan,MyGhosts,23.55,1920,1
153,RLPacMan,MyGhosts,55.70,1740,1
154,RLPacMan,MyGhosts,29.17,2720,1
155,RLPacMan,MyGhosts,30.10,2810,1
156,RLPacMan,MyGhosts,18.08,2320,1
157,RLPacMan,MyGhosts,17.77,1440,1
158,RLPacMan,MyGhosts,20.60,1240,1
159,RLPacMan,MyGhosts,30.48,2560,1
160,RLPacMan,MyGhosts,31.33,2190,1
161,RLPacMan,MyGhosts,22.93,1930,1
162,RLPacMan,MyGhosts,17.23,1890,1
163,RLPacMan,MyGhosts,22.00,2600,1
164,RLPacMan,MyGhosts,27.10,2760,1
165,RLPacMan,MyGhosts,24.33,2610,1
166,RLPacMan,MyGhosts,19.83,1590,1
167,RLPacMan,MyGhosts,34.80,2780,1
168,RLPacMan,MyGhosts,33.35,1850,1
169,RLPacMan,MyGhosts,75.17,4210,2
170,RLPacMan,MyGhosts,26.05,3010,1
171,RLPacMan,MyGhosts,21.33,1770,1
172,RLPacMan,MyGhosts,26.30,1870,1
173,RLPacMan,MyGhosts,55.92,2600,1
174,RLPacMan,MyGhosts,40.03,3300,1
175,RLPacMan,MyGhosts,29.67,2900,1
176,RLPacMan,MyGhosts,20.80,2560,1
177,RLPacMan,MyGhosts,27.28,1490,1
178,RLPacMan,MyGhosts,34.63,4850,1
179,RLPacMan,MyGhosts,86.87,4930,2
180,RLPacMan,MyGhosts,21.32,2530,1
181,RLPacMan,MyGhosts,18.03,2140,1
182,RLPacMan,MyGhosts,23.63,1610,1
183,RLPacMan,MyGhosts,36.68,2870,1
184,RLPacMan,MyGhosts,24.95,1630,1
185,RLPacMan,MyGhosts,17.72,1560,1
186,RLPacMan,MyGhosts,41.48,2780,1
187,RLPacMan,MyGhosts,20.62,1650,1
188,RLPacMan,MyGhosts,48.42,2900,1
189,RLPacMan,MyGhosts,22.33,2000,1
190,RLPacMan,MyGhosts,36.75,2190,1
191,RLPacMan,MyGhosts,27.97,2170,1
192,RLPacMan,MyGhosts,32.68,3360,1
193,RLPacMan,MyGhosts,41.58,4310,1
194,RLPacMan,MyGhosts,21.70,1840,1
195,RLPacMan,MyGhosts,23.48,2470,1
196,RLPacMan,MyGhosts,25.85,1970,1
197,RLPacMan,MyGhosts,30.22,2910,1
198,RLPacMan,MyGhosts,18.70,1470,1
199,RLPacMan,MyGhosts,21.15,1500,1
200,RLPacMan,MyGhosts,25.48,4470,1
201,RLPacMan,MyGhosts,30.77,2590,1
202,RLPacMan,MyGhosts,44.27,1840,1
203,RLPacMan,MyGhosts,78.67,3890,2
204,RLPacMan,MyGhosts,30.38,2510,1
205,RLPacMan,MyGhosts,20.18,1810,1
206,RLPacMan,MyGhosts,39.02,2880,1
207,RLPacMan,MyGhosts,27.63,2400,1
208,RLPacMan,MyGhosts,74.15,3390,2
209,RLPacMan,MyGhosts,18.18,1800,1
210,RLPacMan,MyGhosts,28.75,4300,1
211,RLPacMan,MyGhosts,14.93,1230,1
212,RLPacMan,MyGhosts,75.82,3060,2
213,RLPacMan,MyGhosts,17.33,2050,1
214,RLPacMan,MyGhosts,25.02,2440,1
215,RLPacMan,MyGhosts,12.48,1110,1
216,RLPacMan,MyGhosts,18.12,1990,1
217,RLPacMan,MyGhosts,24.52,1840,1
218,RLPacMan,MyGhosts,16.97,1320,1
219,RLPacMan,MyGhosts,18.37,1390,1
220,RLPacMan,MyGhosts,25.38,2300,1
221,RLPacMan,MyGhosts,44.58,2700,1
222,RLPacMan,MyGhosts,31.88,2170,1
223,RLPacMan,MyGhosts,39.42,3250,1
224,RLPacMan,MyGhosts,44.83,2600,1
225,RLPacMan,MyGhosts,20.73,2830,1
226,RLPacMan,MyGhosts,34.65,2320,1
227,RLPacMan,MyGhosts,28.42,2470,1
228,RLPacMan,MyGhosts,19.77,2790,1
229,RLPacMan,MyGhosts,26.33,3580,1
230,RLPacMan,MyGhosts,20.07,1420,1
231,RLPacMan,MyGhosts,16.42,1330,1
232,RLPacMan,MyGhosts,25.53,2610,1
233,RLPacMan,MyGhosts,19.43,2040,1
234,RLPacMan,MyGhosts,38.80,3110,1
