AI Method,Ghost Method,Time (s),Score,Level
2345,RLPacMan,MyGhosts,38.97,2820,1
2346,RLPacMan,MyGhosts,24.27,3100,1
2347,RLPacMan,MyGhosts,30.27,2760,1
2348,RLPacMan,MyGhosts,34.35,2320,1
2349,RLPacMan,MyGhosts,23.18,2310,1
2350,RLPacMan,MyGhosts,29.98,3050,1
2351,RLPacMan,MyGhosts,77.43,5100,2
2352,RLPacMan,MyGhosts,13.25,990,1
2353,RLPacMan,MyGhosts,29.78,2290,1
2354,RLPacMan,MyGhosts,57.38,2760,1
2355,RLPacMan,MyGhosts,22.90,2220,1
2356,RLPacMan,MyGhosts,36.32,2430,1
2357,RLPacMan,MyGhosts,17.35,1580,1
2358,RLPacMan,MyGhosts,22.23,1490,1
2359,RLPacMan,MyGhosts,57.38,4530,2
2360,RLPacMan,MyGhosts,25.02,2610,1
2361,RLPacMan,MyGhosts,27.42,2760,1
2362,RLPacMan,MyGhosts,39.25,3280,1
2363,RLPacMan,MyGhosts,7.60,630,1
2364,RLPacMan,MyGhosts,18.10,1640,1
2365,RLPacMan,MyGhosts,39.58,3560,1
2366,RLPacMan,MyGhosts,28.33,2870,1
2367,RLPacMan,MyGhosts,12.20,1030,1
2368,RLPacMan,MyGhosts,46.12,3690,1
2369,RLPacMan,MyGhosts,27.90,3410,1
2370,RLPacMan,MyGhosts,71.37,3740,2
2371,RLPacMan,MyGhosts,31.32,3450,1
2372,RLPacMan,MyGhosts,25.27,2670,1
2373,RLPacMan,MyGhosts,22.15,3200,1
2374,RLPacMan,MyGhosts,33.93,3610,1
2375,RLPacMan,MyGhosts,26.78,2220,1
2376,RLPacMan,MyGhosts,50.85,3190,1
2377,RLPacMan,MyGhosts,33.28,2330,1
2378,RLPacMan,MyGhosts,21.37,2860,1
2379,RLPacMan,MyGhosts,23.20,3120,1
2380,RLPacMan,MyGhosts,24.42,1680,1
2381,RLPacMan,MyGhosts,37.55,3560,1
2382,RLPacMan,MyGhosts,35.22,2800,1
2383,RLPacMan,MyGhosts,23.10,2110,1
2384,RLPacMan,MyGhosts,38.82,2710,1
2385,RLPacMan,MyGhosts,23.12,1600,1
2386,RLPacMan,MyGhosts,49.67,2660,1
2387,RLPacMan,MyGhosts,25.15,2450,1
2388,RLPacMan,MyGhosts,15.33,1360,1
2389,RLPacMan,MyGhosts,10.48,910,1
2390,RLPacMan,MyGhosts,14.08,2490,1
2391,RLPacMan,MyGhosts,51.65,2380,1
2392,RLPacMan,MyGhosts,29.65,2830,1
2393,RLPacMan,MyGhosts,31.05,1610,1
2394,RLPacMan,MyGhosts,40.05,2140,1
2395,RLPacMan,MyGhosts,24.28,2090,1
2396,RLPacMan,MyGhosts,38.72,3990,1
2397,RLPacMan,MyGhosts,15.13,1920,1
2398,RLPacMan,MyGhosts,32.83,3170,1
2399,RLPacMan,MyGhosts,38.28,4050,1
2400,RLPacMan,MyGhosts,30.62,1910,1
2401,RLPacMan,MyGhosts,16.00,1090,1
2402,RLPacMan,MyGhosts,54.68,3450,1
2403,RLPacMan,MyGhosts,28.67,2810,1
2404,RLPacMan,MyGhosts,84.38,5110,2
2405,RLPacMan,MyGhosts,16.33,1140,1
2406,RLPacMan,MyGhosts,37.78,2650,1
2407,RLPacMan,MyGhosts,22.53,2330,1
2408,RLPacMan,MyGhosts,30.32,1820,1
2409,RLPacMan,MyGhosts,41.57,2970,1
2410,RLPacMan,MyGhosts,29.27,3840,1
2411,RLPacMan,MyGhosts,60.00,3310,1
2412,RLPacMan,MyGhosts,8.63,820,1
2413,RLPacMan,MyGhosts,39.05,2460,1
2414,RLPacMan,MyGhosts,22.28,2010,1
2415,RLPacMan,MyGhosts,39.83,1880,1
2416,RLPacMan,MyGhosts,38.18,3580,1
2417,RLPacMan,MyGhosts,28.23,2340,1
2418,RLPacMan,MyGhosts,35.05,4250,1
2419,RLPacMan,MyGhosts,79.50,4820,2
2420,RLPacMan,MyGhosts,33.52,2230,1
2421,RLPacMan,MyGhosts,20.32,1460,1
2422,RLPacMan,MyGhosts,31.60,3020,1
2423,RLPacMan,MyGhosts,45.57,3270,1
2424,RLPacMan,MyGhosts,33.30,2300,1
2425,RLPacMan,MyGhosts,19.90,2070,1
2426,RLPacMan,MyGhosts,34.22,2860,1
2427,RLPacMan,MyGhosts,58.32,3180,1
2428,RLPacMan,MyGhosts,36.33,3090,1
2429,RLPacMan,MyGhosts,23.30,1550,1
2430,RLPacMan,MyGhosts,23.80,1870,1
2431,RLPacMan,MyGhosts,61.02,4060,2
2432,RLPacMan,MyGhosts,23.48,2940,1
2433,RLPacMan,MyGhosts,28.80,2790,1
2434,RLPacMan,MyGhosts,25.82,2750,1
2435,RLPacMan,MyGhosts,23.05,2430,1
2436,RLPacMan,MyGhosts,20.80,2440,1
2437,RLPacMan,MyGhosts,18.55,1580,1
2438,RLPacMan,MyGhosts,58.23,3520,1
2439,RLPacMan,MyGhosts,14.95,960,1
2440,RLPacMan,MyGhosts,25.43,1460,1
2441,RLPacMan,MyGhosts,30.30,3660,1
2442,RLPacMan,MyGhosts,45.30,3270,1
2443,RLPacMan,MyGhosts,11.22,990,1
2444,RLPacMan,MyGhosts,44.15,3180,1
2445,RLPacMan,MyGhosts,12.87,840,1
2446,RLPacMan,MyGhosts,23.20,3020,1
2447,RLPacMan,MyGhosts,43.47,3050,1
2448,RLPacMan,MyGhosts,32.20,2910,1
2449,RLPacMan,MyGhosts,26.20,1690,1
2450,RLPacMan,MyGhosts,27.22,2760,1
2451,RLPacMan,MyGhosts,22.08,2250,1
2452,RLPacMan,MyGhosts,51.63,3690,1
2453,RLPacMan,MyGhosts,23.27,2960,1
2454,RLPacMan,MyGhosts,41.62,5020,1
2455,RLPacMan,MyGhosts,22.85,1730,1
2456,RLPacMan,MyGhosts,36.95,2310,1
2457,RLPacMan,MyGhosts,31.42,2270,1
2458,RLPacMan,MyGhosts,14.17,1840,1
2459,RLPacMan,MyGhosts,24.53,1990,1
2460,RLPacMan,MyGhosts,24.82,2840,1
2461,RLPacMan,MyGhosts,27.42,1740,1
2462,RLPacMan,MyGhosts,11.93,1000,1
2463,RLPacMan,MyGhosts,26.32,1870,1
2464,RLPacMan,MyGhosts,20.67,2250,1
2465,RLPacMan,MyGhosts,71.48,3790,2
2466,RLPacMan,MyGhosts,37.20,2790,1
2467,RLPacMan,MyGhosts,20.33,1870,1
2468,RLPacMan,MyGhosts,64.40,4540,2
2469,RLPacMan,MyGhosts,20.23,1930,1
2470,RLPacMan,MyGhosts,22.55,2520,1
2471,RLPacMan,MyGhosts,29.90,2990,1
2472,RLPacMan,MyGhosts,26.83,3990,1
2473,RLPacMan,MyGhosts,39.20,3520,1
2474,RLPacMan,MyGhosts,32.27,2570,1
2475,RLPacMan,MyGhosts,28.35,1700,1
2476,RLPacMan,MyGhosts,31.18,2160,1
2477,RLPacMan,MyGhosts,39.95,3510,1
2478,RLPacMan,MyGhosts,18.83,1560,1
2479,RLPacMan,MyGhosts,40.78,3150,1
2480,RLPacMan,MyGhosts,34.10,3260,1
2481,RLPacMan,MyGhosts,14.82,1340,1
2482,RLPacMan,MyGhosts,42.05,3540,1
2483,RLPacMan,MyGhosts,25.27,1740,1
2484,RLPacMan,MyGhosts,75.28,3160,2
2485,RLPacMan,MyGhosts,49.72,2880,1
2486,RLPacMan,MyGhosts,41.32,3040,1
2487,RLPacMan,MyGhosts,19.03,1860,1
2488,RLPacMan,MyGhosts,41.10,3080,1
2489,RLPacMan,MyGhosts,23.35,1820,1
2490,RLPacMan,MyGhosts,21.45,1900,1
2491,RLPacMan,MyGhosts,32.00,3120,1
2492,RLPacMan,MyGhosts,60.55,4120,1
2493,RLPacMan,MyGhosts,25.18,2220,1
2494,RLPacMan,MyGhosts,23.32,1810,1
2495,RLPacMan,MyGhosts,23.17,1950,1
2496,RLPacMan,MyGhosts,30.62,1970,1
2497,RLPacMan,MyGhosts,45.90,4870,1
2498,RLPacMan,MyGhosts,46.08,2860,1
2499,RLPacMan,MyGhosts,24.60,2380,1
2500,RLPacMan,MyGhosts,46.58,3640,1
2501,RLPacMan,MyGhosts,20.75,1350,1
2502,RLPacMan,MyGhosts,10.07,690,1
2503,RLPacMan,MyGhosts,30.18,2580,1
2504,RLPacMan,MyGhosts,19.40,2020,1
2505,RLPacMan,MyGhosts,37.92,2540,1
2506,RLPacMan,MyGhosts,23.95,3440,1
2507,RLPacMan,MyGhosts,29.03,2070,1
2508,RLPacMan,MyGhosts,7.80,590,1
2509,RLPacMan,MyGhosts,23.52,1860,1
2510,RLPacMan,MyGhosts,33.57,2450,1
2511,RLPacMan,MyGhosts,46.47,2730,1
2512,RLPacMan,MyGhosts,29.32,2350,1
2513,RLPacMan,MyGhosts,19.00,1570,1
2514,RLPacMan,MyGhosts,17.35,1560,1
2515,RLPacMan,MyGhosts,39.93,2520,1
2516,RLPacMan,MyGhosts,21.10,940,1
2517,RLPacMan,MyGhosts,33.92,2340,1
2518,RLPacMan,MyGhosts,12.42,880,1
2519,RLPacMan,MyGhosts,28.15,1870,1
2520,RLPacMan,MyGhosts,24.20,2270,1
2521,RLPacMan,MyGhosts,24.00,2110,1
2522,RLPacMan,MyGhosts,25.97,1890,1
2523,RLPacMan,MyGhosts,38.77,2070,1
2524,RLPacMan,MyGhosts,51.87,2980,1
2525,RLPacMan,MyGhosts,34.93,1490,1
2526,RLPacMan,MyGhosts,32.65,3150,1
2527,RLPacMan,MyGhosts,24.53,1460,1
2528,RLPacMan,MyGhosts,38.52,3420,1
2529,RLPacMan,MyGhosts,37.38,2840,1
2530,RLPacMan,MyGhosts,47.93,3070,1
2531,RLPacMan,MyGhosts,50.88,3930,1
2532,RLPacMan,MyGhosts,27.40,2300,1
2533,RLPacMan,MyGhosts,33.48,3500,1
2534,RLPacMan,MyGhosts,29.25,2380,1
2535,RLPacMan,MyGhosts,21.92,2570,1
2536,RLPacMan,MyGhosts,27.72,2730,1
2537,RLPacMan,MyGhosts,12.67,1380,1
2538,RLPacMan,MyGhosts,26.93,2240,1
2539,RLPacMan,MyGhosts,18.73,2070,1
2540,RLPacMan,MyGhosts,32.98,4490,1
2541,RLPacMan,MyGhosts,39.53,3100,1
2542,RLPacMan,MyGhosts,40.75,2640,1
2543,RLPacMan,MyGhosts,46.97,3030,1
2544,RLPacMan,MyGhosts,22.07,2380,1
2545,RLPacMan,MyGhosts,57.72,2910,1
2546,RLPacMan,MyGhosts,17.90,2150,1
2547,RLPacMan,MyGhosts,31.75,2060,1
2548,RLPacMan,MyGhosts,19.82,1320,1
2549,RLPacMan,MyGhosts,28.75,2490,1
2550,RLPacMan,MyGhosts,27.67,2630,1
2551,RLPacMan,MyGhosts,38.43,2670,1
2552,RLPacMan,MyGhosts,45.58,2310,1
2553,RLPacMan,MyGhosts,41.98,3480,1
2554,RLPacMan,MyGhosts,36.73,2430,1
2555,RLPacMan,MyGhosts,28.07,3510,1
2556,RLPacMan,MyGhosts,24.40,3590,1
2557,RLPacMan,MyGhosts,28.62,2460,1
2558,RLPacMan,MyGhosts,34.73,2570,1
2559,RLPacMan,MyGhosts,22.50,2820,1
2560,RLPacMan,MyGhosts,10.25,890,1
2561,RLPacMan,MyGhosts,31.67,2660,1
2562,RLPacMan,MyGhosts,24.10,2800,1
2563,RLPacMan,MyGhosts,15.05,1130,1
2564,RLPacMan,MyGhosts,24.38,3330,1
2565,RLPacMan,MyGhosts,28.00,2400,1
2566,RLPacMan,MyGhosts,34.83,2580,1
2567,RLPacMan,MyGhosts,16.62,1100,1
2568,RLPacMan,MyGhosts,34.98,2920,1
2569,RLPacMan,MyGhosts,17.68,1630,1
2570,RLPacMan,MyGhosts,26.58,2790,1
2571,RLPacMan,MyGhosts,22.80,2200,1
2572,RLPacMan,MyGhosts,22.42,2340,1
2573,RLPacMan,MyGhosts,45.82,3640,1
2574,RLPacMan,MyGhosts,77.43,4010,2
2575,RLPacMan,MyGhosts,48.75,2660,1
2576,RLPacMan,MyGhosts,42.50,3560,1
2577,RLPacMan,MyGhosts,12.68,1020,1
2578,RLPacMan,MyGhosts,22.15,1560,1
2579,RLPacMan,MyGhosts,28.90,2800,1
2580,RLPacMan,MyGhosts,38.47,2430,1
2581,RLPacMan,MyGhosts,20.67,2500,1
2582,RLPacMan,MyGhosts,39.98,3930,1
2583,RLPacMan,MyGhosts,17.27,1770,1
2584,RLPacMan,MyGhosts,55.02,3410,1
2585,RLPacMan,MyGhosts,16.22,2370,1
2586,RLPacMan,MyGhosts,29.07,3490,1
2587,RLPacMan,MyGhosts,56.70,3210,1
2588,RLPacMan,MyGhosts,70.53,4160,2
2589,RLPacMan,MyGhosts,47.08,4050,1
2590,RLPacMan,MyGhosts,26.03,2490,1
2591,RLPacMan,MyGhosts,14.43,1000,1
2592,RLPacMan,MyGhosts,28.75,2940,1
2593,RLPacMan,MyGhosts,70.75,2760,2
2594,RLPacMan,MyGhosts,26.42,2780,1
2595,RLPacMan,MyGhosts,29.27,2820,1
2596,RLPacMan,MyGhosts,31.68,2670,1
2597,RLPacMan,MyGhosts,19.60,1860,1
2598,RLPacMan,MyGhosts,31.87,3310,1
2599,RLPacMan,MyGhosts,34.98,2930,1
2600,RLPacMan,MyGhosts,48.93,2360,1
2601,RLPacMan,MyGhosts,38.25,1960,1
2602,RLPacMan,MyGhosts,41.58,2920,1
2603,RLPacMan,MyGhosts,29.50,2510,1
2604,RLPacMan,MyGhosts,25.75,1770,1
2605,RLPacMan,MyGhosts,12.43,1070,1
2606,RLPacMan,MyGhosts,41.33,3650,1
2607,RLPacMan,MyGhosts,32.57,3510,1
2608,RLPacMan,MyGhosts,23.68,2670,1
2609,RLPacMan,MyGhosts,36.13,2840,1
2610,RLPacMan,MyGhosts,91.38,4020,2
2611,RLPacMan,MyGhosts,47.02,3040,1
2612,RLPacMan,MyGhosts,24.67,1580,1
2613,RLPacMan,MyGhosts,45.67,3620,1
2614,RLPacMan,MyGhosts,26.12,1570,1
2615,RLPacMan,MyGhosts,62.02,1650,1
2616,RLPacMan,MyGhosts,27.95,2750,1
2617,RLPacMan,MyGhosts,37.00,2820,1
2618,RLPacMan,MyGhosts,12.88,1630,1
2619,RLPacMan,MyGhosts,22.30,2470,1
2620,RLPacMan,MyGhosts,27.65,2300,1
2621,RLPacMan,MyGhosts,20.65,2280,1
2622,RLPacMan,MyGhosts,19.15,1600,1
2623,RLPacMan,MyGhosts,27.98,2490,1
2624,RLPacMan,MyGhosts,26.72,1790,1
2625,RLPacMan,MyGhosts,25.00,1880,1
2626,RLPacMan,MyGhosts,64.05,3160,1
2627,RLPacMan,MyGhosts,17.65,1400,1
2628,RLPacMan,MyGhosts,43.75,2760,1
2629,RLPacMan,MyGhosts,32.95,2320,1
2630,RLPacMan,MyGhosts,24.85,2200,1
2631,RLPacMan,MyGhosts,17.78,1600,1
2632,RLPacMan,MyGhosts,38.53,2300,1
2633,RLPacMan,MyGhosts,18.85,2010,1
2634,RLPacMan,MyGhosts,47.13,2870,1
2635,RLPacMan,MyGhosts,28.18,2000,1
2636,RLPacMan,MyGhosts,40.37,2290,1
2637,RLPacMan,MyGhosts,28.67,1870,1
2638,RLPacMan,MyGhosts,43.53,1940,1
2639,RLPacMan,MyGhosts,14.22,1700,1
2640,RLPacMan,MyGhosts,34.48,2820,1
2641,RLPacMan,MyGhosts,13.60,1630,1
2642,RLPacMan,MyGhosts,21.25,2280,1
2643,RLPacMan,MyGhosts,39.08,2830,1
2644,RLPacMan,MyGhosts,18.10,2080,1
2645,RLPacMan,MyGhosts,14.27,1040,1
2646,RLPacMan,MyGhosts,20.23,2400,1
2647,RLPacMan,MyGhosts,29.05,2850,1
2648,RLPacMan,MyGhosts,35.70,4380,1
2649,RLPacMan,MyGhosts,32.62,2360,1
2650,RLPacMan,MyGhosts,30.48,2390,1
2651,RLPacMan,MyGhosts,49.45,3680,1
2652,RLPacMan,MyGhosts,37.48,3460,1
2653,RLPacMan,MyGhosts,51.22,2570,1
2654,RLPacMan,MyGhosts,15.80,2110,1
2655,RLPacMan,MyGhosts,26.15,1780,1
2656,RLPacMan,MyGhosts,38.52,2380,1
2657,RLPacMan,MyGhosts,43.78,4070,1
2658,RLPacMan,MyGhosts,16.17,2530,1
2659,RLPacMan,MyGhosts,45.65,3270,1
2660,RLPacMan,MyGhosts,56.77,2680,1
2661,RLPacMan,MyGhosts,27.20,2160,1
2662,RLPacMan,MyGhosts,50.38,2960,1
2663,RLPacMan,MyGhosts,19.30,1700,1
2664,RLPacMan,MyGhosts,22.72,2710,1
2665,RLPacMan,MyGhosts,39.87,2540,1
2666,RLPacMan,MyGhosts,47.60,2150,1
2667,RLPacMan,MyGhosts,30.87,3090,1
2668,RLPacMan,MyGhosts,31.38,1790,1
2669,RLPacMan,MyGhosts,17.33,1230,1
2670,RLPacMan,MyGhosts,14.25,1380,1
2671,RLPacMan,MyGhosts,25.42,2940,1
2672,RLPacMan,MyGhosts,38.65,3560,1
2673,RLPacMan,MyGhosts,32.32,2620,1
2674,RLPacMan,MyGhosts,19.50,1950,1
2675,RLPacMan,MyGhosts,32.70,2510,1
2676,RLPacMan,MyGhosts,48.28,3080,1
2677,RLPacMan,MyGhosts,24.20,1440,1
2678,RLPacMan,MyGhosts,28.05,2660,1
2679,RLPacMan,MyGhosts,32.42,2470,1
2680,RLPacMan,MyGhosts,33.40,3160,1
2681,RLPacMan,MyGhosts,9.72,760,1
2682,RLPacMan,MyGhosts,21.25,2190,1
2683,RLPacMan,MyGhosts,24.60,2980,1
2684,RLPacMan,MyGhosts,31.42,1780,1
2685,RLPacMan,MyGhosts,32.20,4330,1
2686,RLPacMan,MyGhosts,18.87,1580,1
2687,RLPacMan,MyGhosts,29.28,3110,1
2688,RLPacMan,MyGhosts,31.95,2500,1
2689,RLPacMan,MyGhosts,35.60,2620,1
2690,RLPacMan,MyGhosts,25.12,2330,1
2691,RLPacMan,MyGhosts,31.30,2570,1
2692,RLPacMan,MyGhosts,24.68,1120,1
2693,RLPacMan,MyGhosts,21.63,2170,1
2694,RLPacMan,MyGhosts,45.58,2880,1
2695,RLPacMan,MyGhosts,38.00,4270,1
2696,RLPacMan,MyGhosts,18.42,1790,1
2697,RLPacMan,MyGhosts,28.22,2130,1
2698,RLPacMan,MyGhosts,22.00,1270,1
2699,RLPacMan,MyGhosts,32.55,2710,1
2700,RLPacMan,MyGhosts,33.35,1790,1
2701,RLPacMan,MyGhosts,14.58,1370,1
2702,RLPacMan,MyGhosts,71.68,4750,2
2703,RLPacMan,MyGhosts,31.52,2790,1
2704,RLPacMan,MyGhosts,26.37,4020,1
2705,RLPacMan,MyGhosts,27.05,3770,1
2706,RLPacMan,MyGhosts,27.00,1750,1
2707,RLPacMan,MyGhosts,26.68,2470,1
2708,RLPacMan,MyGhosts,43.88,3660,1
2709,RLPacMan,MyGhosts,26.27,3060,1
2710,RLPacMan,MyGhosts,55.32,3960,1
2711,RLPacMan,MyGhosts,34.33,1120,1
2712,RLPacMan,MyGhosts,30.15,3510,1
2713,RLPacMan,MyGhosts,28.47,2270,1
2714,RLPacMan,MyGhosts,38.10,3570,1
2715,RLPacMan,MyGhosts,43.22,3540,1
2716,RLPacMan,MyGhosts,26.17,2470,1
2717,RLPacMan,MyGhosts,79.90,3810,2
2718,RLPacMan,MyGhosts,34.35,2140,1
2719,RLPacMan,MyGhosts,27.12,2180,1
2720,RLPacMan,MyGhosts,40.12,2500,1
2721,RLPacMan,MyGhosts,24.73,3030,1
2722,RLPacMan,MyGhosts,56.37,3350,1
2723,RLPacMan,MyGhosts,28.55,2980,1
2724,RLPacMan,MyGhosts,18.52,1610,1
2725,RLPacMan,MyGhosts,15.00,1500,1
2726,RLPacMan,MyGhosts,28.60,2770,1
2727,RLPacMan,MyGhosts,42.97,2720,1
2728,RLPacMan,MyGhosts,39.92,1870,1
2729,RLPacMan,MyGhosts,28.63,1730,1
2730,RLPacMan,MyGhosts,65.33,3220,1
2731,RLPacMan,MyGhosts,57.13,3580,1
2732,RLPacMan,MyGhosts,15.13,1350,1
2733,RLPacMan,MyGhosts,30.92,3480,1
2734,RLPacMan,MyGhosts,32.28,2580,1
2735,RLPacMan,MyGhosts,25.65,5260,1
2736,RLPacMan,MyGhosts,42.22,2700,1
2737,RLPacMan,MyGhosts,21.03,2330,1
2738,RLPacMan,MyGhosts,24.03,3690,1
2739,RLPacMan,MyGhosts,41.62,3180,1
2740,RLPacMan,MyGhosts,38.70,2850,1
2741,RLPacMan,MyGhosts,36.45,2750,1
2742,RLPacMan,MyGhosts,33.45,2750,1
2743,RLPacMan,MyGhosts,44.52,2590,1
2744,RLPacMan,MyGhosts,32.50,2330,1
2745,RLPacMan,MyGhosts,12.77,1070,1
2746,RLPacMan,MyGhosts,24.43,2320,1
2747,RLPacMan,MyGhosts,37.23,3130,1
2748,RLPacMan,MyGhosts,17.58,2280,1
2749,RLPacMan,MyGhosts,15.60,1790,1
2750,RLPacMan,MyGhosts,21.22,1710,1
2751,RLPacMan,MyGhosts,52.75,3220,1
2752,RLPacMan,MyGhosts,54.98,2500,1
2753,RLPacMan,MyGhosts,32.28,2700,1
2754,RLPacMan,MyGhosts,15.32,1310,1
2755,RLPacMan,MyGhosts,24.07,3100,1
2756,RLPacMan,MyGhosts,32.42,2100,1
2757,RLPacMan,MyGhosts,30.15,2310,1
2758,RLPacMan,MyGhosts,23.62,2120,1
2759,RLPacMan,MyGhosts,17.45,1470,1
2760,RLPacMan,MyGhosts,54.18,5760,1
2761,RLPacMan,MyGhosts,29.90,1480,1
2762,RLPacMan,MyGhosts,40.88,2910,1
2763,RLPacMan,MyGhosts,53.62,6350,2
2764,RLPacMan,MyGhosts,34.12,2730,1
2765,RLPacMan,MyGhosts,27.58,2370,1
2766,RLPacMan,MyGhosts,34.78,3550,1
2767,RLPacMan,MyGhosts,42.42,2540,1
2768,RLPacMan,MyGhosts,8.70,600,1
2769,RLPacMan,MyGhosts,35.25,1840,1
2770,RLPacMan,MyGhosts,57.77,3310,1
2771,RLPacMan,MyGhosts,44.97,3260,1
2772,RLPacMan,MyGhosts,16.48,1570,1
2773,RLPacMan,MyGhosts,20.93,1700,1
2774,RLPacMan,MyGhosts,54.23,2130,1
2775,RLPacMan,MyGhosts,77.95,3540,2
2776,RLPacMan,MyGhosts,39.68,3120,1
2777,RLPacMan,MyGhosts,27.03,2650,1
2778,RLPacMan,MyGhosts,32.20,3040,1
2779,RLPacMan,MyGhosts,51.28,2990,1
2780,RLPacMan,MyGhosts,57.68,3480,1
2781,RLPacMan,MyGhosts,23.30,1440,1
2782,RLPacMan,MyGhosts,39.25,3870,1
2783,RLPacMan,MyGhosts,31.55,2830,1
2784,RLPacMan,MyGhosts,35.70,2270,1
2785,RLPacMan,MyGhosts,30.18,1760,1
2786,RLPacMan,MyGhosts,54.25,3250,1
2787,RLPacMan,MyGhosts,79.95,4440,2
2788,RLPacMan,MyGhosts,26.82,3580,1
2789,RLPacMan,MyGhosts,65.62,2760,1
2790,RLPacMan,MyGhosts,33.40,4170,1
2791,RLPacMan,MyGhosts,78.78,4180,2
2792,RLPacMan,MyGhosts,50.90,2830,1
2793,RLPacMan,MyGhosts,29.23,2070,1
2794,RLPacMan,MyGhosts,72.03,3030,2
2795,RLPacMan,MyGhosts,22.65,1280,1
2796,RLPacMan,MyGhosts,28.83,1930,1
2797,RLPacMan,MyGhosts,38.35,3120,1
2798,RLPacMan,MyGhosts,44.13,2640,1
2799,RLPacMan,MyGhosts,40.67,2790,1
2800,RLPacMan,MyGhosts,40.45,3080,1
2801,RLPacMan,MyGhosts,45.98,1740,1
2802,RLPacMan,MyGhosts,19.35,1060,1
2803,RLPacMan,MyGhosts,14.15,1490,1
2804,RLPacMan,MyGhosts,31.07,3100,1
2805,RLPacMan,MyGhosts,34.08,3390,1
2806,RLPacMan,MyGhosts,20.93,3040,1
2807,RLPacMan,MyGhosts,55.85,2360,1
2808,RLPacMan,MyGhosts,10.98,990,1
2809,RLPacMan,MyGhosts,18.95,1780,1
2810,RLPacMan,MyGhosts,40.87,2930,1
2811,RLPacMan,MyGhosts,29.85,4080,1
2812,RLPacMan,MyGhosts,35.70,3650,1
2813,RLPacMan,MyGhosts,34.68,3230,1
2814,RLPacMan,MyGhosts,16.30,1920,1
2815,RLPacMan,MyGhosts,46.02,3580,1
2816,RLPacMan,MyGhosts,30.48,2380,1
2817,RLPacMan,MyGhosts,37.63,2640,1
2818,RLPacMan,MyGhosts,23.65,2860,1
2819,RLPacMan,MyGhosts,50.40,2390,1
2820,RLPacMan,MyGhosts,40.10,2140,1
2821,RLPacMan,MyGhosts,21.77,1560,1
2822,RLPacMan,MyGhosts,33.97,2890,1
2823,RLPacMan,MyGhosts,42.28,2350,1
2824,RLPacMan,MyGhosts,26.48,2770,1
2825,RLPacMan,MyGhosts,35.07,3320,1
2826,RLPacMan,MyGhosts,18.22,1500,1
2827,RLPacMan,MyGhosts,27.98,3070,1
2828,RLPacMan,MyGhosts,22.07,1970,1
2829,RLPacMan,MyGhosts,24.88,1680,1
2830,RLPacMan,MyGhosts,41.43,2360,1
2831,RLPacMan,MyGhosts,10.20,1200,1
2832,RLPacMan,MyGhosts,31.52,1790,1
2833,RLPacMan,MyGhosts,31.52,1110,1
2834,RLPacMan,MyGhosts,35.93,3310,1
2835,RLPacMan,MyGhosts,28.62,2840,1
2836,RLPacMan,MyGhosts,33.37,2190,1
2837,RLPacMan,MyGhosts,11.73,1060,1
2838,RLPacMan,MyGhosts,24.80,2080,1
2839,RLPacMan,MyGhosts,63.57,3180,1
2840,RLPacMan,MyGhosts,27.02,3370,1
2841,RLPacMan,MyGhosts,35.13,3120,1
2842,RLPacMan,MyGhosts,26.10,1890,1
2843,RLPacMan,MyGhosts,31.12,4190,1
2844,RLPacMan,MyGhosts,41.23,2250,1
2845,RLPacMan,MyGhosts,29.12,5540,1
2846,RLPacMan,MyGhosts,74.62,3370,2
2847,RLPacMan,MyGhosts,49.77,3150,1
2848,RLPacMan,MyGhosts,30.28,2740,1
2849,RLPacMan,MyGhosts,12.65,1280,1
2850,RLPacMan,MyGhosts,25.70,1500,1
2851,RLPacMan,MyGhosts,30.67,2200,1
2852,RLPacMan,MyGhosts,15.03,1230,1
2853,RLPacMan,MyGhosts,31.82,2540,1
2854,RLPacMan,MyGhosts,46.28,3180,1
2855,RLPacMan,MyGhosts,47.40,3740,1
2856,RLPacMan,MyGhosts,27.90,2200,1
2857,RLPacMan,MyGhosts,15.45,2870,1
2858,RLPacMan,MyGhosts,40.30,2840,1
2859,RLPacMan,MyGhosts,38.72,2170,1
2860,RLPacMan,MyGhosts,28.95,2960,1
2861,RLPacMan,MyGhosts,31.35,3330,1
2862,RLPacMan,MyGhosts,41.78,2880,1
2863,RLPacMan,MyGhosts,32.90,3660,1
2864,RLPacMan,MyGhosts,28.83,2160,1
2865,RLPacMan,MyGhosts,55.45,2880,1
2866,RLPacMan,MyGhosts,28.77,2530,1
2867,RLPacMan,MyGhosts,33.85,2610,1
2868,RLPacMan,MyGhosts,18.60,1220,1
2869,RLPacMan,MyGhosts,10.48,910,1
2870,RLPacMan,MyGhosts,17.52,1580,1
2871,RLPacMan,MyGhosts,37.82,2630,1
2872,RLPacMan,MyGhosts,21.80,2270,1
2873,RLPacMan,MyGhosts,15.97,1930,1
2874,RLPacMan,MyGhosts,22.12,1530,1
2875,RLPacMan,MyGhosts,28.47,1670,1
2876,RLPacMan,MyGhosts,64.00,3020,1
2877,RLPacMan,MyGhosts,37.73,2310,1
2878,RLPacMan,MyGhosts,40.65,2570,1
2879,RLPacMan,MyGhosts,25.32,3060,1
2880,RLPacMan,MyGhosts,36.23,2810,1
2881,RLPacMan,MyGhosts,39.18,1820,1
2882,RLPacMan,MyGhosts,23.52,3510,1
